abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
MARSHALL,cusa,3,0.625,5,16.2,21.2,0.8,1.1,0.9,1.2,13,1.2,1.1,6,Marshall,31.3,35.4,60.4,62.6,18.9,22.2,9.1,12.5,1.7,1.8,213.3,255.2,5.5,5.2,65.6,71.5,28.6,21.8,34.3,36.2,6.3,7.6,0.7,1.5,120.1,149.8,3.5,4.1,-4.59,-0.43,2.1,2.2,0.538,7,333.4,405.0,41.8,41.5,5.1,5.7,2011,
EAST-CAROLINA,cusa,4,0.5,4,22.6,19.8,0.8,1.4,1.3,1.2,12,1.7,0.6,7,East Carolina,43.7,29.5,67.7,60.5,29.6,17.8,14.9,9.0,2.1,1.4,286.1,202.2,4.9,4.9,76.8,67.8,32.3,26.3,33.1,38.3,6.8,9.3,1.3,2.0,109.1,174.2,3.3,4.5,-5.04,-1.79,2.9,1.8,0.417,5,395.2,376.3,45.8,41.8,5.1,5.5,2011,
CENTRAL-FLORIDA,cusa,5,0.375,3,21.0,15.7,0.9,1.1,0.8,0.5,12,0.7,0.8,7,UCF,28.8,32.1,67.9,54.0,19.6,17.3,10.7,8.6,0.9,1.0,238.0,194.5,5.7,4.3,67.7,61.0,18.3,27.1,38.8,28.9,9.4,6.0,2.3,0.8,168.8,108.8,4.3,3.8,-1.8,-4.8,1.5,1.3,0.417,5,406.8,303.3,48.9,34.3,6.0,5.0,2011,
ALABAMA-BIRMINGHAM,cusa,5,0.375,3,20.2,25.9,1.7,1.4,0.9,1.0,12,1.3,0.8,9,UAB,36.7,33.6,55.9,71.0,20.5,23.8,11.3,13.3,1.0,2.2,234.6,282.3,5.0,6.0,70.2,72.4,36.8,20.2,33.5,38.8,7.2,11.3,1.1,2.2,129.4,203.3,3.9,5.2,-15.03,-4.12,2.2,1.8,0.25,3,364.0,485.6,43.6,54.1,5.2,6.7,2011,
MEMPHIS,cusa,7,0.125,1,15.2,24.0,1.2,1.3,0.8,1.5,12,0.7,1.0,10,Memphis,34.0,36.0,54.9,64.6,18.7,23.3,8.9,13.8,0.8,2.3,190.3,299.4,4.8,5.8,65.5,73.9,35.1,16.3,31.5,37.9,5.1,9.0,0.8,2.1,84.0,191.6,2.7,5.1,-18.17,-6.17,1.5,2.5,0.167,2,274.3,491.0,43.6,48.9,4.2,6.6,2011,
HOUSTON,cusa,0,1.0,8,28.1,19.9,1.4,1.1,0.6,0.7,14,0.4,1.5,1,Houston,48.7,33.5,70.2,55.0,34.2,18.4,18.4,9.4,3.9,1.4,450.1,208.7,6.1,6.3,78.7,74.6,22.4,49.3,30.0,41.1,8.2,9.4,2.4,1.3,149.0,171.6,5.0,4.2,11.94,-4.63,1.1,2.2,0.929,13,599.1,380.3,49.9,52.1,7.6,5.1,2011,18.0
TULSA,cusa,1,0.875,7,22.1,22.1,1.3,1.5,1.3,0.8,13,1.3,1.4,5,Tulsa,32.4,39.7,60.8,59.5,19.7,23.6,11.2,12.8,2.4,1.9,248.7,286.3,4.0,5.4,72.5,78.8,27.3,33.1,40.1,39.2,9.5,7.8,1.5,1.5,191.7,128.5,4.8,3.3,5.2,0.89,2.6,2.2,0.615,8,440.4,414.8,35.8,50.4,6.1,5.3,2011,
SOUTHERN-METHODIST,cusa,3,0.625,5,18.8,18.6,1.5,1.4,1.0,0.8,13,1.5,0.5,5,SMU,36.6,34.1,59.0,64.1,21.6,21.8,12.6,9.9,1.3,1.2,274.8,221.7,6.2,5.0,63.9,69.9,23.1,25.8,27.3,35.8,4.8,7.3,1.9,1.3,113.8,118.3,4.2,3.3,0.78,-1.83,2.5,1.2,0.615,8,388.6,340.0,50.5,44.8,6.1,4.9,2011,
RICE,cusa,5,0.375,3,18.2,21.3,1.3,1.0,1.0,1.2,12,0.6,1.1,8,Rice,32.0,33.3,57.8,61.7,18.5,20.5,7.8,10.8,1.3,2.7,196.8,278.7,4.8,4.3,70.9,71.3,33.3,23.3,38.9,38.1,9.1,9.5,1.1,1.5,150.9,183.4,3.9,4.8,-8.15,0.35,1.6,2.3,0.333,4,347.7,462.1,38.4,37.5,4.9,6.5,2011,
TEXAS-EL-PASO,cusa,6,0.25,2,19.8,21.7,1.7,1.2,0.8,0.6,12,1.4,1.0,7,UTEP,33.3,33.7,56.4,59.9,18.8,20.2,10.2,10.8,1.2,1.3,225.6,251.7,4.6,5.3,67.4,69.8,30.3,26.6,34.2,36.2,8.0,9.7,2.0,2.0,154.9,189.8,4.5,5.2,-7.93,-3.85,2.3,1.6,0.417,5,380.5,441.5,41.0,48.0,5.6,6.3,2011,
TULANE,cusa,7,0.125,1,17.5,20.9,1.2,1.2,0.8,0.5,13,1.2,0.9,11,Tulane,35.5,32.5,53.8,61.6,19.1,20.0,9.5,10.8,1.0,1.5,214.0,245.4,5.7,4.9,68.5,68.4,37.5,21.1,33.0,35.9,6.8,8.8,1.3,2.8,126.3,164.9,3.8,4.6,-19.11,-6.18,2.0,1.5,0.154,2,340.3,410.3,49.8,39.9,5.0,6.0,2011,
BRIGHAM-YOUNG,independent,0,,0,23.5,16.4,1.8,1.9,0.9,0.9,13,1.2,1.0,3,BYU,35.7,33.2,56.5,57.9,20.2,19.2,12.2,8.9,2.2,1.0,245.4,200.9,5.8,5.7,73.7,64.0,20.4,30.1,38.0,30.8,9.5,5.5,1.2,1.2,160.3,112.5,4.2,3.7,4.8,-3.13,2.1,1.9,0.769,10,405.7,313.4,50.2,44.6,5.5,4.9,2011,
NOTRE-DAME,independent,0,,0,23.5,20.1,2.2,1.9,0.9,0.5,13,1.3,0.6,5,Notre Dame,36.4,31.5,63.8,59.7,23.2,18.8,12.5,10.4,1.6,1.8,252.6,205.8,6.4,7.4,69.7,68.2,20.7,29.2,33.3,36.8,8.9,7.8,1.9,0.6,160.4,138.9,4.8,3.8,11.06,4.44,2.2,1.1,0.615,8,413.0,344.7,59.1,62.5,5.9,5.1,2011,
NAVY,independent,0,,0,21.3,22.4,1.2,0.4,0.8,1.2,12,0.5,0.8,7,Navy,11.3,28.8,48.1,74.3,5.4,21.4,3.3,11.3,0.8,1.2,85.8,226.9,2.3,4.7,69.1,67.5,28.9,29.7,57.8,38.7,16.8,10.8,2.8,2.7,312.3,186.9,5.4,4.8,-1.39,-1.56,1.3,2.0,0.417,5,398.0,413.8,20.0,41.5,5.8,6.1,2011,
ARMY,independent,0,,0,21.2,18.8,0.8,1.1,1.8,0.8,12,0.3,0.7,9,Army,8.1,20.4,38.1,57.6,3.1,11.8,2.3,6.8,0.4,1.6,50.4,164.3,4.1,4.8,69.8,60.5,28.3,24.8,61.7,40.1,18.2,10.8,2.9,2.0,346.5,194.9,5.6,4.9,-8.88,-1.8,2.2,1.4,0.25,3,396.9,359.3,36.3,37.5,5.7,5.9,2011,
OHIO,mac,2,0.75,6,23.4,18.9,1.4,1.5,1.1,0.9,14,0.8,1.1,4,Ohio,30.5,33.5,64.2,54.6,19.6,18.3,10.9,9.9,2.1,1.7,249.0,219.0,6.1,5.9,73.1,68.7,22.1,30.5,42.6,35.2,11.2,7.5,1.3,0.9,200.3,142.0,4.7,4.0,1.56,-5.73,1.9,1.9,0.714,10,449.3,361.0,59.4,45.5,6.1,5.3,2011,
TEMPLE,mac,3,0.625,5,18.8,16.5,1.3,0.8,0.6,0.5,13,0.3,1.2,4,Temple,15.2,29.8,58.6,57.4,8.9,17.1,5.8,8.6,0.8,1.0,126.8,187.8,5.2,4.6,64.2,63.8,13.9,30.6,48.9,34.0,11.7,7.1,2.9,0.8,256.5,123.9,5.2,3.6,5.63,-5.68,0.9,1.6,0.692,9,383.3,311.8,43.1,42.2,6.0,4.9,2011,
KENT-STATE,mac,4,0.5,4,13.6,17.6,1.4,1.6,0.8,1.4,12,0.8,1.2,7,Kent State,29.0,30.1,49.4,55.7,14.3,16.8,7.0,8.9,0.9,0.9,145.4,196.3,6.3,4.8,64.9,67.1,24.3,17.1,35.9,37.0,5.2,7.1,0.9,1.3,108.1,129.8,3.0,3.5,-6.03,-1.53,1.6,2.6,0.417,5,253.5,326.2,63.7,44.2,3.9,4.9,2011,
BOWLING-GREEN-STATE,mac,5,0.375,3,19.5,21.0,0.8,1.3,1.2,0.8,12,1.2,0.5,7,Bowling Green,35.7,30.5,59.3,56.6,21.2,17.3,11.9,9.4,2.3,1.2,261.6,202.6,4.8,6.3,69.2,71.8,28.8,26.5,33.5,41.3,6.8,10.3,1.1,2.0,122.9,203.4,3.7,4.9,-4.75,-2.33,2.3,1.3,0.417,5,384.5,406.0,42.1,51.8,5.6,5.7,2011,
MIAMI-OH,mac,5,0.375,3,20.0,18.7,1.0,1.2,0.8,0.6,12,0.9,0.8,8,Miami (OH),38.3,28.7,65.6,58.1,25.1,16.7,13.4,8.7,2.0,1.4,299.1,195.2,5.8,5.3,69.5,69.1,22.9,21.3,31.3,40.4,5.6,8.8,0.9,1.3,73.8,168.5,2.4,4.2,-4.9,-1.9,1.8,1.4,0.333,4,372.9,363.7,45.9,47.5,5.4,5.3,2011,
BUFFALO,mac,6,0.25,2,19.8,18.8,1.8,0.8,0.5,0.6,12,0.8,0.5,9,Buffalo,35.2,26.7,55.9,59.1,19.7,15.8,9.8,9.3,1.0,2.1,210.2,203.7,5.6,5.0,71.5,69.1,29.4,22.2,36.3,42.4,8.3,8.6,1.8,1.8,155.0,181.2,4.3,4.3,-10.89,-3.31,1.3,1.1,0.25,3,365.2,384.8,54.4,46.3,5.1,5.6,2011,
AKRON,mac,8,0.0,0,15.8,22.0,1.5,1.0,1.1,1.1,12,0.9,0.2,11,Akron,31.3,25.5,45.5,63.1,14.3,16.1,7.6,9.9,1.0,1.9,163.3,207.6,5.3,5.8,65.8,70.1,38.5,14.2,34.4,44.6,6.8,11.1,0.6,2.8,114.4,219.6,3.3,4.9,-19.11,-3.52,2.0,1.3,0.083,1,277.8,427.2,43.6,56.0,4.2,6.1,2011,
NORTHERN-ILLINOIS,mac,1,0.875,7,23.8,22.8,1.9,1.7,0.9,0.9,14,0.4,0.9,3,Northern Illinois,29.1,34.1,62.0,56.7,18.1,19.4,10.6,10.9,2.1,2.1,241.9,247.9,5.5,6.1,71.6,75.7,30.3,38.3,42.5,41.6,11.3,10.2,2.4,1.6,234.1,167.4,5.5,4.0,5.55,-3.52,1.4,1.8,0.786,11,476.0,415.2,53.4,54.1,6.6,5.5,2011,
TOLEDO,mac,1,0.875,7,23.8,21.0,1.2,2.1,0.5,1.2,13,0.5,1.1,4,Toledo,32.7,35.2,68.5,62.6,22.4,22.0,11.7,11.5,2.6,2.6,267.7,268.8,7.3,5.5,75.4,68.8,31.7,42.2,42.7,33.7,10.9,7.5,2.5,1.3,213.6,132.8,5.0,3.9,6.84,-1.55,1.1,2.3,0.692,9,481.3,401.5,63.2,42.5,6.4,5.8,2011,
WESTERN-MICHIGAN,mac,3,0.625,5,24.6,22.4,2.3,1.8,1.4,1.5,13,1.2,0.9,6,Western Michigan,42.6,30.5,66.6,62.0,28.4,18.9,15.7,9.9,3.1,1.4,337.3,215.0,7.1,6.5,72.7,71.2,28.7,35.3,30.1,40.7,6.6,10.7,1.3,1.8,121.2,219.7,4.0,5.4,0.42,-2.97,2.6,2.4,0.538,7,458.5,434.7,56.2,54.5,6.3,6.1,2011,
BALL-STATE,mac,4,0.5,4,21.0,25.9,1.9,1.0,0.6,0.6,12,0.9,0.8,6,Ball State,38.3,30.8,63.7,66.7,24.4,20.5,11.7,12.7,1.6,2.4,241.0,284.3,4.5,7.0,71.6,75.3,34.7,25.3,33.3,44.6,7.4,12.3,1.4,1.8,138.4,226.0,4.2,5.1,-4.38,-0.46,1.5,1.4,0.5,6,379.4,510.3,35.5,72.3,5.3,6.8,2011,
EASTERN-MICHIGAN,mac,4,0.5,4,17.6,18.8,1.1,1.8,0.8,0.6,12,0.7,0.4,6,Eastern Michigan,16.8,31.0,54.5,60.2,9.2,18.7,5.0,10.7,1.2,1.7,126.7,209.8,7.3,4.7,64.8,64.9,24.3,21.3,47.9,33.9,11.5,6.3,1.3,1.0,218.3,140.5,4.6,4.1,-6.55,-4.3,1.4,1.0,0.5,6,345.0,350.3,61.2,38.3,5.3,5.4,2011,
CENTRAL-MICHIGAN,mac,6,0.25,2,19.7,21.7,1.1,1.7,0.4,0.3,12,1.5,0.7,9,Central Michigan,38.2,31.2,56.3,61.2,21.5,19.1,12.1,10.9,2.1,2.0,274.2,241.8,4.7,5.3,65.9,72.3,33.3,22.6,27.8,41.2,6.5,9.1,0.6,1.9,115.8,187.0,4.2,4.5,-11.28,-2.37,1.9,0.9,0.25,3,389.9,428.8,46.7,47.2,5.9,5.9,2011,
TEXAS-CHRISTIAN,mwc,0,1.0,7,21.7,17.8,1.6,1.8,1.1,1.0,13,0.5,0.8,2,Texas Christian,26.9,31.5,66.0,57.2,17.8,18.0,9.8,9.9,1.9,1.8,231.6,223.6,5.5,6.3,67.8,66.6,21.5,40.8,40.9,35.2,10.3,6.1,2.9,0.5,208.6,123.8,5.1,3.5,9.67,-3.17,1.6,1.8,0.846,11,440.2,347.4,52.8,55.6,6.5,5.2,2011,14.0
BOISE-STATE,mwc,1,0.857,6,25.7,15.9,1.8,1.8,0.6,0.8,13,0.8,1.2,1,Boise State,36.7,30.8,73.8,56.9,27.1,17.5,15.5,8.1,3.5,1.6,309.4,210.8,5.3,7.0,74.5,62.0,18.7,44.2,37.8,31.2,8.3,6.0,2.4,0.7,171.9,110.0,4.5,3.5,16.75,-1.79,1.4,2.0,0.923,12,481.3,320.8,47.2,61.7,6.5,5.2,2011,8.0
WYOMING,mwc,2,0.714,5,19.5,22.2,1.4,1.2,0.6,1.4,13,0.8,1.0,5,Wyoming,33.1,25.4,60.5,60.9,20.0,15.5,9.5,9.1,1.6,1.4,206.8,199.6,4.8,6.8,70.4,70.9,27.8,26.1,37.3,45.5,8.7,11.8,1.5,2.2,181.6,232.0,4.9,5.1,-3.82,-3.98,1.5,2.4,0.615,8,388.5,431.6,46.4,60.0,5.5,6.1,2011,
SAN-DIEGO-STATE,mwc,3,0.571,4,21.6,18.7,1.5,1.3,0.6,1.0,13,0.6,1.2,5,San Diego State,34.5,28.0,53.0,56.0,18.3,15.7,11.4,8.2,1.8,1.4,242.9,221.7,4.6,6.0,71.9,69.0,25.0,29.8,37.4,41.0,8.8,9.2,2.2,1.8,184.5,169.5,4.9,4.1,-0.02,-4.1,1.2,2.2,0.615,8,427.4,391.2,41.1,49.5,5.9,5.7,2011,
AIR-FORCE,mwc,4,0.429,3,23.2,21.0,1.5,1.0,1.4,1.1,13,0.6,0.9,6,Air Force,15.7,23.8,60.3,62.8,9.5,14.9,6.0,8.1,1.2,1.6,140.1,166.8,4.7,6.5,71.3,68.1,28.4,34.9,55.6,44.3,15.7,11.9,3.3,1.8,314.8,219.7,5.7,5.0,-0.38,-4.23,2.0,2.0,0.538,7,454.8,386.5,43.2,57.1,6.4,5.7,2011,
COLORADO-STATE,mwc,6,0.143,1,18.3,20.9,1.8,1.4,1.0,1.2,12,1.2,0.7,9,Colorado State,28.7,24.4,60.5,61.8,17.3,15.1,7.4,8.1,1.0,1.6,184.6,179.6,6.8,5.5,66.3,66.9,31.3,21.4,37.7,42.5,9.2,11.4,1.4,2.3,166.8,233.7,4.4,5.5,-12.69,-4.78,2.2,1.8,0.25,3,351.4,413.3,60.8,56.3,5.3,6.2,2011,
NEVADA-LAS-VEGAS,mwc,6,0.143,1,15.1,22.2,1.3,1.7,0.6,1.1,12,0.8,0.6,10,Nevada-Las Vegas,22.4,28.8,53.5,60.9,12.0,17.5,5.4,10.4,0.8,2.3,109.6,249.0,6.7,4.3,64.1,68.6,40.4,17.3,41.7,39.8,8.4,10.1,1.2,2.5,164.3,194.2,3.9,4.9,-17.72,-1.97,1.4,1.7,0.167,2,273.8,443.2,61.2,35.7,4.3,6.5,2011,
NEW-MEXICO,mwc,6,0.143,1,15.6,25.2,1.3,0.8,1.1,0.8,12,0.7,0.3,11,New Mexico,29.6,28.0,56.6,72.6,16.8,20.3,7.4,11.3,0.6,1.8,183.0,245.2,6.8,5.6,63.3,73.1,41.7,12.0,33.8,45.1,6.8,13.0,0.8,3.8,113.2,246.9,3.4,5.5,-19.31,-1.81,1.8,1.1,0.083,1,296.2,492.1,48.5,49.3,4.7,6.7,2011,
OREGON,pac-12,1,0.889,8,24.2,21.6,1.4,2.1,0.9,0.9,14,0.5,1.2,2,Oregon,27.6,37.8,61.1,59.2,16.9,22.4,9.4,11.4,2.8,1.8,223.6,247.3,7.2,6.3,72.5,76.9,24.6,46.1,44.9,39.1,13.4,8.0,3.0,1.0,299.2,142.8,6.7,3.6,18.8,3.23,1.4,2.1,0.857,12,522.8,390.1,65.0,51.6,7.2,5.1,2011,4.0
STANFORD,pac-12,1,0.889,8,25.0,17.5,1.7,1.8,0.5,1.2,13,0.8,0.5,2,Stanford,32.1,34.7,71.2,61.6,22.8,21.4,13.2,11.2,2.9,1.4,278.7,253.2,6.2,5.0,71.9,62.7,21.9,43.2,39.8,28.0,10.1,4.6,2.5,1.2,210.6,84.4,5.3,3.0,17.78,3.09,1.3,1.7,0.846,11,489.3,337.6,55.2,47.5,6.8,5.4,2011,7.0
WASHINGTON,pac-12,4,0.556,5,21.1,22.8,1.8,1.7,0.7,1.0,13,1.0,0.8,6,Washington,31.2,37.4,65.8,62.8,20.5,23.5,11.4,12.8,2.8,1.7,255.5,284.6,6.0,6.9,66.0,70.5,35.9,33.4,34.8,33.2,7.9,8.3,1.5,2.5,154.3,168.7,4.4,5.1,1.8,2.8,1.7,1.8,0.538,7,409.8,453.3,59.5,55.4,6.2,6.4,2011,
CALIFORNIA,pac-12,5,0.444,4,21.5,17.4,2.5,2.0,0.9,0.8,13,0.9,0.9,6,California,33.8,30.5,55.9,56.4,18.9,17.2,11.2,7.8,1.3,1.5,246.6,204.2,7.5,7.5,71.1,64.5,24.2,28.3,37.2,34.0,7.8,7.5,1.9,1.3,154.8,128.7,4.2,3.8,4.57,2.18,1.8,1.8,0.538,7,401.5,332.9,72.4,66.6,5.6,5.2,2011,
OREGON-STATE,pac-12,6,0.333,3,19.8,23.1,1.8,2.6,1.0,1.0,12,1.6,0.9,9,Oregon State,41.9,29.0,63.6,64.1,26.7,18.6,13.3,10.2,1.3,2.3,286.8,214.4,7.4,6.2,68.4,70.0,30.8,21.8,26.5,41.0,4.6,10.3,1.0,1.8,86.9,196.8,3.3,4.8,-4.33,3.84,2.6,1.9,0.25,3,373.7,411.3,68.7,56.2,5.5,5.9,2011,
WASHINGTON-STATE,pac-12,7,0.222,2,23.3,19.6,2.4,1.7,0.8,0.8,12,1.0,0.7,8,Washington State,41.0,29.8,60.4,64.2,24.8,19.2,14.5,10.9,2.5,2.0,322.3,252.4,6.5,8.1,73.7,65.6,31.8,29.8,32.7,35.8,6.3,7.0,1.1,1.6,100.2,157.2,3.1,4.4,-5.61,0.14,1.8,1.4,0.333,4,422.4,409.6,61.3,69.1,5.7,6.2,2011,
SOUTHERN-CALIFORNIA,pac-12,2,0.778,7,24.6,21.6,2.4,1.1,0.9,0.7,12,0.6,0.8,2,USC,37.3,38.1,69.1,63.9,25.8,24.3,12.9,14.2,3.3,1.4,294.2,263.3,5.9,7.3,69.9,68.8,23.6,35.8,32.7,30.8,9.3,6.3,1.0,1.4,162.6,111.4,5.0,3.6,14.16,3.49,1.5,1.4,0.833,10,456.8,374.8,50.0,61.2,6.5,5.4,2011,6.0
UCLA,pac-12,4,0.556,5,18.6,22.3,1.6,1.6,1.2,0.5,14,0.6,1.0,8,UCLA,24.7,33.6,55.8,63.3,13.8,21.3,8.5,10.8,1.3,2.0,198.3,226.6,6.6,5.7,64.1,70.6,31.4,23.1,39.4,37.0,8.5,9.9,1.6,1.9,178.4,190.6,4.5,5.2,-1.05,4.59,1.9,1.5,0.429,6,376.6,417.1,59.0,54.4,5.9,5.9,2011,
UTAH,pac-12,5,0.444,4,16.4,19.3,1.8,2.2,1.0,1.1,13,0.8,1.5,5,Utah,25.7,35.7,56.3,56.0,14.5,20.0,7.2,11.0,1.5,1.4,173.2,237.4,5.7,7.7,62.0,70.7,20.2,25.0,36.3,35.0,7.4,6.1,1.2,0.5,137.6,113.5,3.8,3.2,3.16,-0.3,1.8,2.5,0.615,8,310.8,350.9,51.7,64.4,5.0,5.0,2011,
ARIZONA-STATE,pac-12,5,0.444,4,23.8,21.5,2.5,2.5,0.8,1.3,13,1.0,1.2,7,Arizona State,40.5,34.6,63.2,65.8,25.6,22.8,14.2,11.7,2.1,1.6,316.7,273.0,8.0,7.9,73.1,69.6,28.6,33.2,32.5,35.0,7.1,7.3,1.8,1.6,129.1,149.1,4.0,4.3,5.1,2.49,1.8,2.5,0.462,6,445.8,422.1,79.8,72.4,6.1,6.1,2011,
ARIZONA,pac-12,7,0.222,2,25.8,23.0,2.3,2.5,0.5,0.4,12,1.3,0.9,8,Arizona,48.1,35.7,69.0,65.9,33.2,23.5,16.9,13.2,2.4,1.8,370.8,298.9,7.9,7.2,75.7,69.9,35.4,30.8,27.6,34.3,6.5,7.3,1.4,2.5,94.5,161.6,3.4,4.7,-1.46,4.21,1.8,1.3,0.333,4,465.3,460.5,65.5,67.3,6.1,6.6,2011,
COLORADO,pac-12,7,0.222,2,18.5,23.6,1.9,1.9,0.6,0.6,13,0.8,0.5,10,Colorado,34.6,31.8,55.6,65.5,19.2,20.8,10.4,11.9,1.6,2.6,237.6,255.4,7.9,6.7,65.5,66.8,36.5,19.8,30.8,34.9,6.2,9.8,0.8,2.0,108.7,183.9,3.5,5.3,-8.67,3.26,1.5,1.2,0.231,3,346.3,439.3,66.6,71.0,5.3,6.6,2011,
GEORGIA,sec,1,0.875,7,21.1,14.4,1.4,0.9,0.8,0.9,14,1.0,1.4,4,Georgia,31.0,30.7,59.2,50.7,18.4,15.6,11.1,7.7,2.6,0.9,244.5,176.0,6.1,6.7,72.6,62.1,20.6,32.0,41.6,31.4,8.6,5.7,1.1,1.1,164.0,101.2,3.9,3.2,10.67,4.02,1.8,2.3,0.714,10,408.5,277.2,47.4,45.5,5.6,4.5,2011,19.0
SOUTH-CAROLINA,sec,2,0.75,6,19.1,15.8,0.9,0.8,0.9,1.0,13,1.2,1.5,2,South Carolina,24.4,26.6,60.3,50.3,14.7,13.4,6.9,6.4,1.5,1.1,181.5,131.7,6.3,4.9,66.9,64.2,18.4,30.1,42.5,37.6,11.2,8.6,2.2,0.9,192.1,136.0,4.5,3.6,13.56,3.1,2.1,2.5,0.846,11,373.5,267.7,48.7,35.9,5.6,4.2,2011,9.0
FLORIDA,sec,5,0.375,3,17.1,16.8,1.6,2.2,1.0,0.5,13,1.0,0.6,6,Florida,24.6,26.2,56.9,54.5,14.0,14.3,8.2,6.9,1.0,1.2,185.7,166.8,7.7,6.9,60.7,65.2,20.3,25.5,36.1,39.0,7.3,7.8,1.3,1.2,143.0,132.7,4.0,3.4,6.0,3.61,2.0,1.1,0.538,7,328.7,299.5,59.5,56.9,5.4,4.6,2011,
VANDERBILT,sec,6,0.25,2,17.2,17.9,1.5,1.5,0.8,0.8,13,1.4,1.5,7,Vanderbilt,26.6,30.6,51.7,54.3,13.8,16.6,6.3,8.6,1.2,1.2,174.6,192.2,6.2,6.1,64.8,67.0,21.6,26.7,38.2,36.4,9.3,7.8,2.0,0.9,164.5,130.5,4.3,3.6,7.09,3.39,2.2,2.2,0.462,6,339.1,322.8,50.2,51.6,5.2,4.8,2011,
KENTUCKY,sec,6,0.25,2,14.2,19.5,1.6,1.2,1.0,0.8,12,1.0,1.3,7,Kentucky,28.0,28.5,50.9,51.2,14.3,14.6,5.6,8.3,1.0,1.6,135.6,193.8,4.9,6.2,63.7,69.1,24.7,15.8,35.7,40.6,7.0,10.1,0.8,1.2,124.2,183.2,3.5,4.5,-1.63,2.62,2.0,2.1,0.417,5,259.8,377.0,40.2,53.3,4.1,5.5,2011,
TENNESSEE,sec,7,0.125,1,18.1,17.3,1.5,1.3,0.5,0.8,12,1.0,0.8,7,Tennessee,33.3,25.6,55.8,58.0,18.6,14.8,10.5,7.6,1.5,1.2,242.6,177.8,5.8,6.5,66.0,62.7,22.6,20.3,32.7,37.1,6.1,8.3,0.9,1.4,90.1,162.7,2.8,4.4,4.26,4.84,1.5,1.5,0.417,5,332.7,340.5,46.8,54.8,5.0,5.4,2011,
LOUISIANA-STATE,sec,0,1.0,8,19.2,15.1,1.9,1.5,0.4,0.9,14,0.4,1.3,1,LSU,19.9,31.2,62.0,52.4,12.4,16.4,6.9,8.1,1.5,0.5,152.5,171.4,6.1,6.8,62.1,64.1,11.3,35.7,42.2,32.9,10.4,5.6,2.5,0.5,202.6,90.1,4.8,2.7,24.27,6.27,0.7,2.1,0.929,13,355.1,261.5,49.0,54.7,5.7,4.1,2011,2.0
ALABAMA,sec,1,0.875,7,21.5,10.1,0.8,0.8,0.3,0.5,13,0.6,1.0,1,Alabama,27.5,25.7,66.4,49.1,18.2,12.6,10.4,4.8,1.2,0.5,215.2,111.5,3.8,4.5,66.5,55.4,8.2,34.8,39.1,29.7,10.3,4.4,2.6,0.2,214.5,72.2,5.5,2.4,24.44,4.21,0.9,1.5,0.923,12,429.6,183.6,31.5,34.8,6.5,3.3,2011,1.0
ARKANSAS,sec,2,0.75,6,21.5,18.8,1.5,1.3,1.0,0.7,13,0.5,0.9,2,Arkansas,36.2,31.3,63.5,57.0,23.0,17.8,12.8,9.2,2.0,0.9,300.7,195.2,6.2,6.2,67.9,70.2,22.2,36.8,31.7,38.8,7.2,8.3,1.9,1.6,137.4,167.6,4.3,4.3,13.86,3.7,1.5,1.6,0.846,11,438.1,362.8,45.6,51.2,6.4,5.2,2011,5.0
AUBURN,sec,4,0.5,4,17.5,22.4,0.9,1.4,0.6,0.9,13,1.0,0.8,5,Auburn,22.5,30.4,56.2,63.3,12.6,19.2,6.6,10.4,1.3,1.8,155.5,218.8,5.8,5.5,63.7,71.2,28.9,25.7,41.2,40.8,9.9,10.6,1.5,1.5,182.3,189.2,4.4,4.6,3.8,4.26,1.6,1.8,0.615,8,337.8,408.0,52.0,41.5,5.3,5.7,2011,
MISSISSIPPI-STATE,sec,6,0.25,2,18.5,19.8,1.3,1.2,0.5,0.6,13,1.0,0.9,6,Mississippi State,26.8,33.4,56.7,64.5,15.2,21.5,7.8,9.5,1.5,0.9,181.8,197.2,5.5,6.2,66.3,74.6,19.7,25.3,39.5,41.2,9.5,9.1,1.5,1.2,175.3,153.5,4.4,3.7,5.13,2.52,1.5,1.5,0.538,7,357.2,350.6,43.6,53.7,5.4,4.7,2011,
