abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
PURDUE,big-ten,4,0.5,4,20.5,21.9,1.3,2.1,0.7,0.7,13,0.8,0.9,6,Purdue,30.1,30.8,59.6,57.9,17.9,17.8,9.5,10.4,1.3,1.3,195.2,221.0,7.4,5.5,71.2,71.7,26.8,26.9,41.2,40.8,9.8,9.5,1.7,1.9,181.6,174.9,4.4,4.3,-0.76,0.01,1.5,1.6,0.538,7,376.8,395.9,60.2,49.3,5.3,5.5,2011,
OHIO-STATE,big-ten,5,0.375,3,17.1,16.8,1.5,1.1,0.8,0.5,13,0.4,1.0,7,Ohio State,18.8,27.1,51.0,60.8,9.6,16.5,5.8,8.5,1.4,1.4,127.0,182.0,5.4,5.9,62.2,63.9,21.0,24.5,43.3,36.8,9.8,7.2,1.5,1.0,191.2,141.5,4.4,3.8,4.66,2.97,1.2,1.5,0.462,6,318.2,323.5,44.0,50.5,5.1,5.1,2011,
ILLINOIS,big-ten,6,0.25,2,19.3,15.8,1.5,1.2,1.2,0.9,13,1.0,0.8,6,Illinois,27.8,25.2,62.4,54.9,17.4,13.8,8.4,7.7,1.1,1.2,184.0,162.3,4.9,4.5,70.2,64.8,19.6,22.6,42.3,39.5,9.5,6.8,1.6,1.2,171.7,123.8,4.1,3.1,2.63,1.17,2.2,1.7,0.538,7,355.7,286.2,42.2,38.5,5.1,4.4,2011,
INDIANA,big-ten,8,0.0,0,20.1,22.1,1.6,0.9,0.6,0.9,12,0.9,0.4,11,Indiana,31.5,25.2,55.8,59.9,17.6,15.1,9.6,8.5,0.8,2.2,199.4,215.0,6.9,5.9,72.5,71.2,37.3,21.4,41.0,46.0,8.9,12.7,1.5,2.1,161.0,243.7,3.9,5.3,-10.91,1.09,1.5,1.3,0.083,1,360.4,458.7,64.7,52.3,5.0,6.4,2011,
MICHIGAN-STATE,big-ten,1,0.875,7,19.4,16.1,1.0,2.4,0.6,0.5,14,0.7,1.3,3,Michigan State,32.2,28.6,63.9,53.9,20.6,15.4,11.4,8.2,1.9,1.4,252.5,176.9,6.8,6.1,67.1,64.5,18.4,31.0,34.9,35.9,7.1,5.6,1.5,0.8,137.9,100.5,3.9,2.8,10.05,1.48,1.3,1.8,0.786,11,390.4,277.4,55.4,49.1,5.8,4.3,2011,11.0
MICHIGAN,big-ten,2,0.75,6,20.8,17.2,1.9,1.2,0.5,1.5,13,1.2,0.7,2,Michigan,21.8,28.8,54.6,59.1,11.9,17.0,7.5,8.8,1.7,0.9,182.8,190.5,4.1,7.1,64.9,61.8,17.4,33.3,43.1,33.0,11.4,7.2,2.4,1.1,221.8,131.7,5.2,4.0,16.27,2.96,1.7,2.2,0.846,11,404.7,322.2,35.2,61.7,6.2,5.2,2011,12.0
NEBRASKA,big-ten,3,0.625,5,20.4,18.8,1.7,1.8,0.8,0.6,13,0.6,0.8,4,Nebraska,22.5,27.8,56.0,53.2,12.6,14.8,7.7,7.8,1.0,1.2,162.7,192.2,6.6,5.9,69.5,67.4,23.4,29.2,47.0,39.6,11.0,9.2,2.4,1.8,217.2,158.5,4.6,4.0,8.76,3.07,1.5,1.4,0.692,9,379.9,350.7,52.9,57.5,5.5,5.2,2011,24.0
IOWA,big-ten,4,0.5,4,20.5,21.4,1.8,1.2,0.8,0.7,13,0.6,0.8,6,Iowa,31.7,31.8,58.3,62.0,18.5,19.7,10.6,11.1,1.9,1.6,234.8,222.9,4.8,6.4,66.6,74.0,23.8,27.5,34.9,42.2,8.0,9.1,1.4,1.2,137.7,156.0,3.9,3.7,4.38,1.77,1.4,1.5,0.538,7,372.5,378.9,35.6,53.9,5.6,5.1,2011,
NORTHWESTERN,big-ten,5,0.375,3,23.5,20.5,1.5,1.0,0.6,0.6,13,0.7,0.9,7,Northwestern,31.3,27.4,71.0,60.7,22.2,16.6,11.5,9.7,2.0,1.2,254.2,230.4,4.3,5.3,75.7,66.8,27.7,28.9,44.4,39.5,10.5,9.8,1.9,2.1,166.6,177.3,3.8,4.5,1.66,0.43,1.3,1.5,0.462,6,420.8,407.7,37.8,46.2,5.6,6.1,2011,
MINNESOTA,big-ten,6,0.25,2,16.3,22.3,0.8,1.6,0.6,0.4,12,0.8,0.3,9,Minnesota,22.8,29.4,48.9,67.7,11.2,19.9,6.8,10.2,0.8,1.9,150.3,216.7,5.7,4.5,62.0,67.7,31.7,18.4,39.2,38.3,8.7,10.5,1.2,1.9,160.0,186.4,4.1,4.9,-6.04,3.21,1.4,0.8,0.25,3,310.3,403.1,49.4,37.1,5.0,6.0,2011,
SOUTHERN-MISSISSIPPI,cusa,2,0.75,6,23.4,19.1,1.9,1.2,1.3,0.6,14,0.9,1.4,2,Southern Mississippi,34.9,38.2,59.7,57.6,20.9,22.0,10.6,11.1,2.3,1.0,256.2,224.4,7.8,6.4,74.4,74.4,20.8,36.9,39.5,36.1,10.9,6.9,1.2,1.1,205.1,118.6,5.2,3.3,9.18,-4.6,2.1,2.0,0.857,12,461.4,343.0,63.9,53.9,6.2,4.6,2011,20.0
